content,query,score
滴滤咖啡的革新和统一。星巴克研发了专用于滴滤咖啡的拼配咖啡豆，以平衡口感和酸度。门店恢复了店内咖啡豆研磨工序，现磨咖啡豆，提高咖啡的新鲜度和口味。同时，通过咖啡豆的研磨声和香味，唤醒顾客对星巴克早期的回忆，加强情感联结。引进萃取系统Clover。星巴克收购了咖啡设备制造商咖啡制造公司，引进了萃取系统Clover。Clover通过真空技术引出咖啡豆丰富的风味，适用于星巴克的异域风味咖啡豆。Clover的可视性增加了咖啡馆的氛围感。浓缩咖啡机的升级和更新。星巴克对原有的浓缩咖啡机进行了升级，并推出了新一代独家咖啡机MastrenaT。MastrenaT在口感统一性、蒸牛奶和客制化方面有更卓越的性能。机器的外观更小巧，为咖啡师和顾客提供更好的视觉联结和互动。星享卡推出奖励机制。星巴克通过加大促销力度和奖励机制，吸引更多持卡会员，增进客流量。自2001年引入预付卡体系以来，星巴克已发行超过1.9亿张预付卡，活跃持卡人数量稳定在500万左右。提升品牌与顾客情感联结。星巴克通过提供独特的店内体验，如咖啡豆的研磨声和香味，唤醒顾客对早期的回忆，加强品牌与顾客之间的情感联结。这种情感联结有助于增强顾客的黏性和忠诚度。加强竞争优势。通过升级产品设备，星巴克巩固了匠心和高品质的品牌形象，与主要竞争对手麦当劳等快餐巨头进一步差异化。这有助于提高星巴克的竞争优势，并吸引更多顾客选择星巴克。促进门店客流量。通过提供独特的店内体验和升级产品设备，星巴克吸引了更多顾客，促进了门店的客流量。这有助于改善门店的经营表现和销售额。经营层面上的改善。通过加大促销力度和奖励机制，星巴克提高了持卡会员的活跃度，增进了客流量。这种经营层面上的改善有助于提升星巴克的竞争力，与快餐巨头加大差异化，提高自身的竞争优势。,现磨咖啡市场规模,0
中游企业成立年限和注册资金。咖啡产业链中游企业中，加工类企业成立时间普遍较短，平均成立年限为3.78年，七成以上企业成立年限在5年以内。批发类企业成立时间稍长，平均成立年限为4.44年，近一半企业成立年限在5-10年。咖啡设备类企业成立时间最长的为10年。各经营范围内超过80%的企业注册资金在1000万元以内，注册资金达亿元的批发类和加工类企业数量最多。小微企业在中游领域中的分布。咖啡产业链中游企业中，小微企业在烘焙、设备和批发领域中占比分别为70%、68%和63%，说明中小微企业在此类业务中集中度较高。这也反映了中游企业数量众多，但规模相对较小。下游企业经营项目分布。咖啡产业链下游企业中，近五成企业从事咖啡销售，产业类企业涉饮品类占比较高。销售类咖啡企业主要从事咖啡种植及销售、茶及咖啡、咖啡用具、咖啡用品、饮品和咖啡作物/豆的销售。产品类从业企业，主要经营项目为咖啡饮品，其次为速溶咖啡、现磨咖啡和挂耳等新兴产品类别，占比较少。在服务类企业中，主要为经营咖啡馆和现场制售咖啡产品。销售类企业的优势。咖啡产业链下游企业中，销售类企业在成立年限、注册资本方面优势明显。多数销售类企业注册资本金在100万元以内，在200万-6000万元的企业注册资本金范围内，咖啡服务类企业普遍多于咖啡销售类企业，在1亿元及以上的注册资本金方面，销售类企业数量是咖啡服务类企业的三倍。咖啡销售类企业在10年以上的从业企业占比要高于服务类和产品类企业，显示出较强的经营基础。咖啡产业面临的困境。咖啡产业面临民族品牌走向海外乏力、产业链安全的不确定性增大和融资成本高等困境。国内本土企业品牌效应较弱，在消费者眼中仍偏中低端，更多的时候只是扮演平替的角色。咖啡豆市场波动影响咖农种植积极性，而产业链上游的咖啡企业议价能力不高，利润稀薄，抗风险能力差。国内咖啡品牌特别是云南咖啡品牌在国内知名度不高，面对国际咖啡品牌的激烈竞争，国内市场份额有被挤占的可能，助啡产业链安全的不确定性增大。中游企业和下游企业的发展趋势。咖啡产业链中游企业中，加工类和批发类企业的成立年限和注册资金普遍较低。中游企业数量众多，但规模相对较小。咖啡产业链下游企业中，销售类企业具有明显优势，成立年限和注册资本方面较为稳定。下游企业中，近五成企业从事咖啡销售，产业类企业涉饮品类占比较高。销售类企业在成立年限、注册资本方面优势明显。咖啡产业链中游企业的分布。观察咖啡产业链中游企业的分布，广东、云南、福建、海南和湖南位居前五，其中广东与云南作为领头羊，从业企业均超过5000家。中游企业中，加工类企业成立时间普遍较短，平均成立年限为3.78年，七成以上企业成立年限在5年以内。批发类企业成立时间稍长，平均成立年限为4.44年，近一半企业成立年限在5-10年。下游企业的发展情况。咖啡产业链下游企业中，近五成企业从事咖啡销售，产业类企业涉饮品类占比较高。销售类咖啡企业在成立年限、注册资本方面优势明显。咖啡产品类企业成立于3年以内的占比高达45.6%，说明该类业务较新。,现磨咖啡市场规模,0
洗地机市场表现强劲。新宝股份的洗地机在中国市场表现强劲，解决了中国家庭清洁的痛点。从2019年至2021年，洗地机在清洁电器品类中的占比由0.4%提升至20.2%，市场规模达48.9亿元，yoy+279%。据AVC统计，2022年开年以来洗地机品类表现依旧不俗，行业整体延续高景气。新宝洗地机新品采用水尘环流技术。新宝洗地机新品采用水尘环流技术，具有差异化优势。与相同技术路线的HIZERO和滴水相比，摩飞洗地机的水箱容量更大，LED屏显和语音交互提升智能化水平，外观设计更具质感。根据生意参谋数据，3月大促期间摩飞洗地机交易金额86.78万元，产品热度远超滴水。行业百花齐放趋势渐显。洗地机市场中添可一家独大，但由于洗地机作为吸尘器的衍生品类，不存在较高的技术壁垒，2021年各家纷纷进入洗地机市场，品牌数量由2020年底的15家增长至近70家，添可市占率同比2020年略有下降。我们认为，摩飞作为代工龙头企业，在技术、生产上均不存在难以克服的缺陷，随着公司在营销层面加大投放力度，有望享受清洁电器行业红利。东菱品牌处于战略调整期。除摩飞外，公司全域品牌还包括OBM模式下最早创立的自主品牌东菱。品牌聚焦大众化、高性价比厨电，平均售价明显低于摩飞品牌。但由于前期战略重心在外销业务，未能与摩飞建立明显的区隔，在2021年需求不振的背景下，东菱品牌营收同比下降了20%。未来公司将对东菱的产品、定位、渠道进行全方位调整，预期随着东菱品牌定位以及与摩飞品牌区隔的逐渐清晰，未来有望在大众化小家电市场占据一席之地。连锁咖啡品牌推动现磨咖啡市场增长。近年来连锁咖啡品牌在中国市场遍地开花，消费者对于现磨咖啡的认知度提升。据弗若斯特沙利文统计，近年来中国现磨咖啡市场规模增速明显高于行业整体水平。主流咖啡机可分为全自动、半自动、滴漏式和胶囊式。疫情居家时间延长催生消费者动手制作食物的需求，操作性与专业性最强的半自动式咖啡机广受欢迎。歌岚品牌横向开拓。公司现有厨房小家电优势产品正处于高速成长期，市场规模和利润空间迅速增长。在巩固已有品类市场地位的基础上，公司开始通过歌岚品牌逐步向家居护理电器、婴儿电器、个护美容电器等尚处于导入期和成长初期的领域扩展。在这一阶段，顾客对产品认知水平较低。我们认为，当下厨房小家电市场正步入存量竞争的境地，而个护母婴小家电市场空间犹存。公司凭借细分领域的爆品打造能力，有望持续引领市场开拓。全渠道布局，发力新媒体。公司致力于推进线上线下渠道融合，以线下门店展示强化消费体验，提升品牌形象，促进线上流量转化，渠道结构完善。2016年来，在电商红利和疫情催动下，线上渠道逐步成为小家电行业竞争的主战场。2021年厨房小家电主要品类线上销额占比达69.4%。公司也顺应潮流，专注淘宝、京东等传统电商渠道，除此之外，在全国线下投设了超过1000家场景展示平台，主要集中在高端百货、精品超市、潮牌店等。,现磨咖啡市场规模,0
门店增速分布。根据美团X大众点评X灼识咨询数据，2022年中国咖啡门店数量增速以三线及以下城市为领跑，同比增长19.3%；新一线次之，同比增长11.6%。其中，四线城市虽然占比不多，但扩容明显。整体三四线市场下沉较为通畅。连锁咖啡门店扩容数占比。根据智图数据，2022年连锁咖啡门店扩容数占比以一线城市和新一线城市为主，分别占比24%和25%。截至2022年底，一线及新一线门店占比接近47%，近半壁江山。从2022年底到2023年第一季度，随着复苏带来的人流量增加，连锁咖啡龙头品牌扩店速度较快，如星巴克增加69家门店，Tims增加31家门店。新式现磨咖啡尝试意愿。消费者愿意尝试新式现磨咖啡，其中以00后为代表的饮咖人群最爱尝鲜。具体而言，咖啡和花香、生椰与茶味的创意融合分居饮咖人群喜爱榜TOP3，而作为尝鲜排头兵的00后则最偏爱丝绒咖啡系列。根据数据，90%的消费者愿意尝试新式现磨咖啡。含奶咖啡品类偏好。瑞幸、星巴克、Manner等品牌的含奶咖啡占比较高。具体而言，消费者对新式现磨咖啡有较强的尝试意愿。根据数据，饮咖人群对新式现磨咖啡选择的TOP3分别是咖啡和花香、生椰与茶味的创意融合。而00后人群则更偏爱丝绒咖啡系列。瑞幸咖啡SKU统计。瑞幸咖啡共计57款SKU，其中46款含咖啡，美式仅含11款SKU。奶咖概念有35款SKU，占比为76%。若剔除植物基底的生椰家族（6款），纯正含奶占比63%。星巴克咖啡SKU统计。星巴克咖啡共计61款SKU，其中45款含咖啡，无奶咖仅含16款SKU。奶咖概念有29款SKU，占比为64.4%。若剔除植物基底的植物基咖啡，纯正含奶占比49%。不同品牌含奶咖啡占比。Manner共计47款SKU，其中43款含咖啡，无奶咖仅含6款SKU。奶咖概念有37款SKU，占比为86.0%。若剔除植物基底的燕麦奶咖（6款），纯正含奶占比72%。Peets皮爷咖啡共计35款SKU，其中26款含咖啡，无奶咖含17款SKU。奶咖概念有7款SKU，占比为26.9%。Tims共计33款SKU，其中25款含咖啡，无奶咖含7款SKU。奶咖概念有18款SKU，占比为72.0%。若剔除植物奶咖系列（4款），纯正含奶比例为56%。连锁咖啡店供应商差异。不同地区的连锁咖啡店供应商有所差异。星巴克的供应商较为分散，江浙沪涵盖卫岗、光明、明治等，北方涵盖发喜，广东地区维记等，其次味全、安佳等也均有涉及。瑞幸的供应商较为分散，有三元乳业、卫岗、现代牧业，冷萃厚牛乳由塞尚乳业提供。卜Ma nner使用朝日唯品、明治、皇氏水牛奶，厚牛乳由塞尚提供。麦当劳的供应商有光明、三元、维记等，厚牛乳由塞尚提供。KFC的供应商有发喜、三元、蒙牛等。整体来看，此部分特征与低温鲜奶C端有一定相似性，区域产品一方面能够保持较好的新鲜度，另一方面区域产品具备当地特色，有望成为未来拓展驱动力。,现磨咖啡市场规模,0
现磨咖啡门店数量不断提升。伴随现磨咖啡市场高需求，我国现磨咖啡门店总数不断提高，由2017年的4.2万家门店攀升至2022年13.8万家门店。其中，连锁门店数量在2022年达到4.4万家，占据总门店数32%，所占比例稳中有升。头部品牌为瑞幸和星巴克。分品牌来看，头部品牌为现磨咖啡开店主力：窄门餐眼数据显示，瑞幸门店数量为10245家(截止2023年8月3日)，星巴克门店数量为7319家(截止2023年8月2日)。上述两家头部品牌门店数与其他品牌拉开差距，呈现两级争霸局面。即饮咖啡市场规模不断增长。即饮咖啡自1998年雀巢推出相关产品后首次进入中国，之后经历了一段时间的发展停滞期。进入21世纪10年代，国人逐渐接受咖啡作为饮料，多品牌瞄准商机推出多品类即饮咖啡饮料，即饮咖啡市场规模迎来高速增长：据欧睿国际数据，2017年我国即饮咖啡市场规模仅有70.44亿，2021年突破百亿，2022年市场规模达到115.85亿，2017-2022年复合增长率达到10.46%。预计到2027年即饮咖啡市场将突破150亿人民币。雀巢成为即饮咖啡市场龙头。市场较为集中，雀巢成为龙头。雀巢为最早进入中国即饮咖啡市场的玩家之一，发展历史悠久、品牌实力强劲。欧睿国际数据显示，2022年中国即饮咖啡市场中雀巢为唯一龙头，市占率达到47.2%；星巴克、三得利、麒麟、贝纳颂、Georgia等咖啡品牌为第二梯队，均占有个位数的市场份额；其他咖啡品牌市场占有率较低，共享26.7%的即饮咖啡市场。多品牌布局多细分产品。多品牌布局多细分产品。根据艾瑞咨询的分类，下游速溶咖啡可以大致分为传统速溶咖啡、冻干咖啡粉和冷萃咖啡液三大板块。通过对比市面上三大板块的主要品牌可以发现，诸如雀巢、AGF、隅田川、瑞幸等规模较大的品牌商均有布局多种细分品类产品，且伴随中游供应商生产工艺的迭代，下游咖啡品牌也在不断推出新的品种以适应不同消费者对于速溶咖啡的不同需求，同时不断提高速溶咖啡的品质、保留咖啡原始风味。速溶咖啡市场趋于稳定。速溶咖啡是最早传入中国的咖啡产品，拥有悠久的发展历史和一批忠实的产品受众。经过数十年的发展，我国速溶咖啡市场趋于稳定：欧睿国际数据显示，2017年我国速溶咖啡市场规模为110.55亿元，到2022年市场规模为128.33亿元，五年复合增长率为低单位数。由于瑞幸咖啡、库迪咖啡等国产现磨咖啡的崛起、星巴克等国际现磨咖啡巨头剑指中国市场，现磨咖啡渗透率或将进一步提升，未来速溶咖啡市场存在进一步缩小的可能：据欧睿国际预测，2027年我国速溶咖啡市场规模为121.91亿元，较2022年下降近5%。速溶咖啡市场较为集中。速溶咖啡市场集中，2019年CR3为70.5%，2022年CR3为73.2%。其中雀巢市场份额常年保持在60%以上为绝对龙头；三顿半表现亮眼，市场份额由2019年的1.1%提升到2022年的9.1%；意利咖啡市场份额也有所提升，由2019年的1.5%提升为2022年的2.1%。库迪崭露头角。根据欧睿国际数据与各公司公布的中国区营收测算，我国现磨咖啡市场二巨头为星巴克和瑞幸，市占率分别达到32.27%和20.77%。与此同时，于2022年开业的库迪咖啡加速开店进程，崭露头角。,现磨咖啡市场规模,0
"新式现制茶饮市场规模快速崛起。自从新式现制茶饮的概念在2010年左右形成后，其市场规模迅速增长。新式现制茶饮通常以天然健康的原料为主打，采用现场手工调配制作，注重产品质量和包装精美，同时具有一定的社交属性。喜茶、奈雪等品牌代表了新式现制茶饮的发展，据推算，我国新式现制茶饮市场规模约为695亿元。新式现制茶饮市场规模估算方法。由于我国新式现制茶饮市场品牌众多、种类复杂，目前尚无官方统计的规模数据。根据大众点评对一线城市、新一线城市和二线及以下城市进行的抽样测算，推算我国茶饮类门店约有50万家，整体市场规模约为1,209亿元。根据中商产业研究院的数据，新式茶饮约占整体市场规模的50%-65%，因此我们估算我国新式茶饮市场规模约为695亿元。现磨咖啡市场规模快速增长。现磨咖啡是一种在现场磨豆制作的咖啡饮品，相比速溶咖啡和即饮咖啡，它在原料、工艺和口感方面表现更为优质，更符合消费升级趋势。根据Frost&Sullivan的报告，2019年中国咖啡市场规模约为700亿元，其中现磨咖啡市场规模约为489亿元，占据咖啡行业70%的市场份额。过去5年，现磨咖啡市场的复合增速为35%，快于整个咖啡行业的增速。其他新式现饮市场规模稳步增长。除了新式现制茶饮和现磨咖啡，还有其他新式现饮市场，包括鲜榨果汁、鲜奶酸奶等品类。根据美团点评的数据，全国范围内的果汁酸奶门店约有7万家，与茶饮门店的比例约为1:7。根据美团点评的报告，2017年鲜榨果汁和鲜奶酸奶门店的整体增长率分别为5%和31%，增长相对平稳。其他现饮与茶饮界限模糊，多种类混营模式流行，有互相融合的趋势。据估算，其他新式现饮市场规模约为100亿元。新式现饮满足消费者需求的变化。从速溶咖啡、冲泡奶茶到现在流行的现磨咖啡、水果茶、奶盖茶，休闲饮品行业正朝着健康化和年轻化的方向发展。现代消费者越来越注重产品的原料和质量，新式现饮以天然健康的原料为主打，满足了消费者对健康饮品的需求。同时，大品牌的扩张和资本力量的加持，使新式现饮的概念逐渐清晰，迅速融入年轻消费群体的生活。茶饮市场发展历程。中国茶饮市场经历了几个阶段的发展。起源于17世纪的英国和荷兰的奶茶概念在殖民进程中传入中国台湾和中国香港，并在20世纪80年代的中国台湾掀起了一波奶茶热。随后，茶饮市场经历了从珍珠奶茶到塑料杯装奶茶再到冲泡奶茶的阶段，最终发展成了新式茶饮。新式茶饮市场规模迅速崛起，成为茶饮行业的主要发展方向。新式现饮的市场前景。新式现饮市场在中国具有巨大的发展潜力。消费者对健康饮品的需求不断增加，新式现饮以天然健康的原料和制作工艺满足了这一需求。大品牌的扩张和资本力量的加持为新式现饮的发展提供了支持。随着年轻消费群体的增加，新式现饮将进一步融入他们的生活，并成为他们的首选饮品。",现磨咖啡市场规模,2
定增扩产咖啡满足精品咖啡产能需求。佳禾食品公司计划通过定增向特定对象发行股票募集资金，其中5.5亿元将投资于咖啡扩产建设项目，2亿元用于补充流动资金。扩产项目建成后，预计年产能将新增1.6万吨焙烤咖啡豆、3000吨研磨咖啡粉、8000吨冷热萃咖啡液、1万吨RTD即饮咖啡和610吨冻干及混合风味咖啡。这将有助于解决精品咖啡产能瓶颈问题，并优化产品结构，拓展利润增长点。咖啡行业发展潜力大。随着我国经济的快速发展和消费水平的提升，咖啡需求总量呈现上升态势。现磨咖啡行业规模从2017年的284亿元增至2021年的876亿元，4年的复合年增长率为33%。同时，精品咖啡的需求持续增加，咖啡行业结构升级趋势明显。因此，咖啡行业具有较大的发展潜力。公司咖啡业务概况。目前，佳禾食品公司主要为瑞幸咖啡、星巴克等咖啡连锁客户提供上游供应链解决方案。公司的咖啡产品品类涵盖精品咖啡豆、冷却咖啡液、冻干咖啡粉、传统速溶咖啡粉、研磨咖啡以及三合一咖啡等。今年，公司将继续发力传统速溶及冻干咖啡。公司已建立了从原料加工到产品包装的完整供应链体系，并在后端生产工艺及设备方面领先行业。此外，公司还设立了咖啡研究室，持续提升产品档次及附加值，为客户提供高品质、定制化的产品。咖啡业务具有竞争壁垒。佳禾食品公司的咖啡业务具有一定的竞争壁垒。首先，公司已建立了完整的供应链体系，能够提供从原料加工到产品包装的全方位解决方案。其次，公司在后端生产工艺及设备方面领先行业，具备智能化及柔性化生产能力，能够满足精品咖啡的多品种、小批量生产方式需求。此外，公司还通过设立咖啡研究室不断提升产品档次及附加值，为客户提供高品质、定制化的产品。这些因素将有助于形成竞争壁垒，使公司的咖啡业务成为新增长点。,现磨咖啡市场规模,1
连锁快餐推动食品包装纸需求增长。西式快餐市场规模不断扩大，预计2025年可达4996.5亿元，推动食品包装纸需求从67万吨增长至126万吨。新式茶饮和现磨咖啡成为食品包装纸新增长点。新式茶饮市场规模预计将从2795.9亿元增长至3749.3亿元，现磨咖啡市场规模预计将从588亿元增长至1866亿元。两者主要外包装为纸杯，有望带动食品包装纸市场扩容。食品包装纸技术指标繁杂，龙头企业优势明显。食品包装纸涉及消费者健康，下游客户对产品各项技术&卫生指标要求严格，龙头企业具有资金优势和先进生产设备，相较小厂商壁垒显著。客户壁垒较高，龙头企业有望保持需求稳健。龙头企业加速布局，市场集中度有望提高。2020年行业CR3为16.2%，龙头企业加速布局，未来3年超300万吨新增产能落地，市场集中度有望提高。五洲特纸、仙鹤股份、凯恩股份为主要参与者，市占率分别为11.1%/2.5%/2.6%。格拉辛纸具有优异性能和广泛下游应用。格拉辛纸以其强度高、透光性强、耐高温、离型剂耗用量少等优点而广泛应用于物流、食饮、日化等领域。格拉辛纸需求随不干胶标签市场扩大而增长。国内标签印刷行业产值高速增长，不干胶标签已成为全球商品标签主流产品，格拉辛纸是其常用材料之一。格拉辛纸需求随不干胶标签市场扩大而增长。格拉辛纸需求有望持续扩张。我国人均不干胶使用量对标发达地区尚有较大提升空间，预计随未来不干胶渗透率持续提升，格拉辛纸需求将持续扩张。,现磨咖啡市场规模,1
中国现磨咖啡市场增速高于整体咖啡零售市场。根据瑞幸咖啡招股说明书援引的FroSt&SullivanReport数据，中国的现磨咖啡市场规模由2013年的57亿元增长至2018年的390亿元，CAGR为46.9%，远高于整个咖啡零售市场的CAGR29.5%。人均消费杯数由2013年的0.3杯增长至2018年的1.6杯，现磨咖啡销售杯数的占比由2013年的9.4%增长至2018年的25%。Frost&SullivanReport预计2023年中国现磨咖啡市场规模将达到1579亿元，人均消费杯数达5.5杯，现磨咖啡销售杯数占比达到51.1%。咖啡店行业在2016-2017年呈负增长，但在2018年有所回升。根据咖门和美团联合发布的报告，2016年初中国咖啡馆数量突破10万家，但全年出现负增长，年底下跌至9万家，全年净闭店率为13.5%。2017年一线城市、新一线城市、二线城市的咖啡店数量分别下跌了16%、18%和25%。这表明咖啡行业并不是容易进入且盈利的行业，成本优势和成熟的管理体系是优秀咖啡店的保障。咖啡店数量的下跌情况于2018年才得以扭转，可能是由于瑞幸咖啡的入市和大幅开店，带动了咖啡市场的回升。日本咖啡市场经历了快速增长，已成为世界第三大咖啡进口国。日本咖啡市场在战后快速增长，已成为世界第三大咖啡进口国。1877年，日本开始进口第一袋咖啡，但在二战前，咖啡文化传播缓慢，1937年咖啡生豆进口量为8571吨。二战期间咖啡进口受到阻碍，直到上世纪60年代，速溶咖啡和咖啡生豆进口自由化后，咖啡文化才开始迅速传播。在众多因素的影响下，咖啡进口量经历了40年的飞速增长，1960年咖啡进口量为1万吨，2002年超过40万吨后进入缓慢增长期。这使得日本长期成为世界第三大咖啡进口国。中国市场对咖啡的接受度提升，现磨咖啡增速快于整体市场。中国市场对咖啡的接受度不断提升，现磨咖啡相对于速溶咖啡和瓶装咖啡更加健康，能够保留更多咖啡的香醇。因此，中国的现磨咖啡市场增速高于整体咖啡市场的增速。根据预测，未来中国现磨咖啡市场仍有增长潜力。咖啡店行业存在一定的挑战，但也有发展机会。咖啡店行业在2016-2017年呈负增长，一定程度上反映出该行业并不容易进入且盈利。然而，2018年咖啡店数量有所回升，可能是由于瑞幸咖啡的入市和大规模开店带动的。虽然咖啡店行业存在一定的挑战，但仍然有发展机会，特别是在现磨咖啡市场的增长趋势下。中国市场可以借鉴日本咖啡市场的经验和洞察。中国市场可以借鉴日本咖啡市场的经验和洞察。日本咖啡市场经历了快速增长，并且已经成为世界第三大咖啡进口国。通过研究日本咖啡市场的体量、价格变化和消费习惯变化，可以为中国市场提供有益的借鉴和洞察。中国市场对咖啡的接受度受到东亚文化的影响。中国市场对咖啡的接受度受到东亚文化的影响。考虑到咖啡文化已经在日本和韩国得到充分融入，而这些地区的消费者与中国的基因和文化相似，包括茶文化，因此可以消除咖啡难以迎合中国口味的忧虑。东亚文化与口味无碍咖啡在中国的培育与发展。,现磨咖啡市场规模,2
公司业务及位置。蜜雪冰城股份有限公司主要向加盟商销售制作各类现制饮品、现制冰淇淋所需食材、包装材料等产品获得收入，同时通过部分直营门店直接向消费者销售现制饮品与现制冰淇淋。公司处于现制饮品产业链中游位置，下游为制作、包装和流通现制饮品的加盟门店，上游为供应食材有关原材料的商家，提供的原料包括水果、乳制品、咖啡豆，分别对应蜜雪冰城股份有限公司覆盖的现制饮品、现制冰淇淋和咖啡业务产品。公司品牌及门店数量。公司以直营连锁为引导，加盟连锁为主体的方式打造现制茶饮连锁品牌蜜雪冰城、现磨咖啡连锁品牌幸运咖和现制冰淇淋连锁品牌极拉图，截至2021年12月31日，蜜雪冰城、幸运咖和极拉图的数量分别为20023、469和19家，按照加盟连锁为主体的理念，三款品牌的加盟门店数量占比分别为99.8%/98.7%/84.2%。综合所有门店，公司为国内门店数量最多、规模最大和品牌影响力最强的现制饮品连锁企业之一。公司影响力。公司2021年门店数量超过2万家，终端销售额超过200亿元。根据华经产业研究院测算的门店数量等信息，蜜雪冰城门店总数占市场的整体比重达到5.13%，终端销售额占中国现制茶饮市场份额占比达到7.15%，已具备一定行业影响力。此外，截至2022年3月末，公司在境外的印尼、越南已分别开设317家、249家蜜雪冰城门店。公司生产基地。由于企业的加盟门店数量、业务规模、受众群体数量达到一定规模，蜜雪冰城通过自建智能制造基地的方式，严控食品安全和产品品质，并已在河南温县建立起252亩生产基地。并在河南、四川、新疆等22个省市或自治区设立仓储物流基地，提升流通环节效率和降低履约费用。公司产品价格策略。始于一元一支鲜奶冰淇淋，蜜雪冰城的现制饮品、现磨咖啡均保持与现制冰淇淋一致的低价策略。根据窄门餐眼的统计数据，在各业务类型中，蜜雪冰城的产品均价均位于同业竞争最低价格带，即6~8元人民币。5月调查显示，70.8%的用户接受最高价格20元以下的新式饮品，价格因素成为继食品安全、口感后影响消费者购买意图最重要的外部因素。热门(鲜果)新式茶饮品牌，如乐乐茶、喜茶、奈雪的茶，的饮品价格屡破30元。但随着年轻人趋于保守消费，目前也迎来个位数喜茶、上限29元等降价信号。公司主要收入来源。作为主力现制茶饮的连锁品牌，制作饮品的食材收入是公司的主要收入来源，各年占比均达到69.5%以上，2022年第一季度收入占比提升至72.16%。公司销售单价变动情况。报告期内公司主要产品销售单价涨跌互现，高单价食材的价格累计增加，包装材料和设备设施销售均价均取得增长。,现磨咖啡市场规模,0
